,Originality,Rule.Conciousness,Openness.to.Change,Assertiveness,Social.Confidence,Empathy,Communicativeness,Independence,Rationality,Competitiveness,Concientiousness,Perfectionism,Decisiveness,Apprehension,Creativity,Agreeableness,Acheivement,Extroversion,Resilience,Status
185,4,7,7,5,5,4,6,7,4,6,7,4,3,8,6,3,5,6,3,Graduated
186,5,4,5,4,4,6,6,6,6,7,9,8,4,6,4,5,8,5,4,Graduated
187,6,4,7,8,7,7,6,3,7,8,8,6,6,7,5,8,7,7,4,Graduated
188,5,5,4,6,4,7,1,5,3,3,5,4,3,7,4,5,3,3,3,Graduated
189,7,8,6,4,7,4,7,9,6,4,6,3,7,6,7,4,5,5,6,Graduated
190,4,4,4,6,6,4,7,6,5,5,6,5,1,7,4,4,4,7,2,Graduated
191,10,9,6,6,5,4,7,8,6,5,9,4,7,5,9,3,7,5,7,Graduated
192,6,5,5,4,4,5,2,8,5,5,6,4,4,7,5,3,5,2,4,Graduated
193,6,7,4,5,5,4,6,6,4,4,7,4,5,5,5,4,4,6,6,Graduated
194,6,6,7,4,4,2,2,8,5,5,7,4,4,5,6,2,5,2,6,Graduated
195,7,3,9,7,7,7,5,5,10,8,8,9,8,6,6,8,9,4,6,Graduated
196,3,3,6,2,2,8,6,5,9,5,7,4,1,7,3,6,4,4,1,Graduated
197,7,3,6,6,3,9,5,8,5,7,8,5,3,4,6,5,7,4,4,Graduated
198,5,8,4,6,8,1,6,9,4,6,4,3,4,8,6,2,4,6,4,Graduated
199,5,5,5,5,6,4,5,6,5,6,8,6,8,7,5,4,7,5,6,Graduated
200,4,4,5,5,6,5,7,6,6,5,10,6,7,6,4,5,7,6,6,Graduated
201,8,6,6,4,4,3,9,5,4,4,8,3,3,8,6,3,4,8,3,Graduated
202,7,7,4,5,4,1,8,7,5,4,6,4,4,5,6,2,4,7,6,Graduated
203,5,3,6,5,5,8,7,7,7,9,8,9,5,6,5,6,9,5,4,Graduated
204,8,6,7,4,4,5,6,9,8,3,8,1,3,7,7,4,3,3,3,Graduated
205,5,6,4,2,7,NA,9,5,5,NA,7,5,4,5,4,3,3,9,6,Graduated
206,5,5,6,4,7,8,10,3,6,6,8,6,5,6,4,8,6,0,4,Graduated
207,7,5,7,5,6,6,9,4,6,6,8,4,5,6,6,6,5,8,5,Graduated
208,6,2,5,7,9,7,9,5,7,8,8,7,4,6,4,8,7,8,4,Graduated
209,5,7,4,7,5,6,6,5,5,5,7,6,3,6,5,5,5,6,4,Graduated
210,4,5,6,2,1,6,3,8,4,5,8,4,2,6,5,2,5,2,3,Graduated
211,5,5,5,5,7,5,9,4,4,4,6,2,3,7,4,6,2,9,3,Graduated
212,4,2,4,4,5,8,6,6,6,5,8,7,4,7,3,6,6,5,3,Graduated
213,5,6,4,3,6,1,7,5,4,5,5,4,5,6,4,3,4,7,6,Graduated
214,4,4,6,5,4,5,6,8,6,5,6,6,4,5,5,4,5,4,5,Graduated
215,4,4,6,4,4,5,6,3,4,7,7,4,2,7,4,5,4,7,3,Graduated
216,5,3,3,3,4,8,3,8,8,4,8,9,2,9,3,6,7,2,1,Graduated
217,3,NA,4,4,4,6,10,3,5,4,8,6,1,6,1,6,4,9,3,Graduated
218,3,3,6,4,6,4,6,3,6,5,7,5,3,9,3,6,4,7,2,Graduated
219,7,5,6,6,6,8,8,6,9,7,9,9,9,6,6,7,9,6,7,Graduated
220,5,7,4,4,4,3,6,6,4,3,6,2,4,6,5,3,3,6,5,Graduated
221,5,1,8,6,6,10,9,3,8,7,10,6,5,8,4,9,7,8,3,Graduated
222,6,6,4,5,4,4,2,8,4,5,6,5,6,6,5,3,5,2,6,Graduated
223,5,4,4,7,5,6,4,5,5,7,8,7,5,6,4,5,7,5,5,Graduated
224,5,5,4,NA,5,4,7,6,5,6,6,5,2,7,3,4,5,6,3,Graduated
225,4,3,5,4,4,8,5,4,6,5,7,4,7,5,3,7,5,5,6,Graduated
226,4,3,7,6,5,8,8,5,8,8,9,7,5,8,4,7,8,6,3,Graduated
227,3,6,7,3,4,6,2,9,3,3,7,2,4,4,5,3,4,2,6,Graduated
228,5,5,5,5,4,5,4,5,4,5,8,4,3,8,5,4,5,5,3,Graduated
229,7,5,6,5,8,6,9,4,6,8,8,7,5,9,5,7,7,9,3,Graduated
230,4,5,6,5,6,5,9,5,5,8,7,6,7,7,5,5,7,8,6,Graduated
231,5,6,5,5,7,5,6,9,5,4,6,5,2,6,6,4,4,5,3,Graduated
232,6,3,6,6,9,9,4,5,9,7,9,4,8,7,5,10,7,4,5,Graduated
233,7,5,8,9,9,8,10,9,6,7,7,9,5,2,8,7,8,8,7,Graduated
234,5,5,4,3,4,1,6,5,4,5,6,4,4,5,4,2,4,6,6,Graduated
